Unit,Unit Type,Unit Sq Ft,Resident,Name,Market Rent,Actual Rent,Resident Deposit,Other Deposit,Move In,Lease Expiration,Move Out,Balance,Email
1019F,300-2/1u,885,t0016437,Kristie Mikel,1200,1200,1200,0,12/29/2012,12/28/2013,3/1/2012,1200,14test@mail.com
1017B,300-2/1u,885,t0019851,Trent Direnna Jacquelyn Dacey,1200,1200,1450,0,11/9/2013,11/8/2025,,0,2testmail.com
1017C*O,300-2/1l,0,VACANT,VACANT,0,0,0,0,,,,0,3test@mail.com
1-b,300-2/1u,885,t0013534,Cathrine & Dennis Amling,1175,1190,1175,0,4/22/2010,10/21/2025,,0,tenant11@example.com
1017,300-1b/l,724,t0014354,Robyn Russell,950,950,950,0,3/18/2011,3/31/2025,,0,hugo@rentrack.com
1017F#H,300-1b/u,0,VACANT,VACANT,0,0,0,0,,,,0,6test@mail.com
2-a,300-1b/l,724,t0000020,Siegfried Baerthel,950,975,650,0,7/29/1995,3/1/2019,,0,tenant11@example.com
1017-H,300-1b/u,724,t0*013202,James Anderson,950,975,950,0,9/1/2009,5/31/2025,,975,8test@mail.com
1019A#H,300stu/l,0,VACANT,VACANT,0,0,0,0,,,,0,9test@mail.com
1019B,300stu/u,445,t0015765,Kendra Mass,760,775,760,0,4/15/2012,05/1/2025,,0,10test@mail.com
1019C*O,300-2/1l,0,VACANT,VACANT,0,0,0,0,,,,0,11test@mail.com
1019D*O,300-2/1u,0,VACANT,VACANT,0,0,0,0,,,,0,12test@mail.com
1019E#H,300-2/1l,0,VACANT,VACANT,0,0,0,0,,,,0,13test@mail.com
1019G,300-1b/l,724,t0011376,Jean Simpson,950,975,1075,0,1/16/2008,,,975,15test@mail.com
1019H,300-1b/u,724,t0013092,Jung & Sophia Yo,950,975,950,0,8/9/2009,2/28/2018,,975,16test@mail.com
1019I,300-1b/l,724,t0010803,Patricia Carmody,950,975,825,0,8/1/2007,,,0,17test@mail.com
1019J,300-1b/u,724,t0014398,Willie Foster Jr.,950,959,959,0,3/1/2013,2/28/2025,,-43,18test@mail.com
1021A,300stu/l,445,t0017209,"Sanders, Lisa, Maria",775,775,775,0,7/13/2013,7/12/2025,,800,19test@mail.com
1021B,300stu/u,445,t0016922,Brian Stackhouse,750,760,760,0,3/27/2013,4/1/2014,,0,20test@mail.com
